"species"
"s__UMGS687 sp900544595"
NA
"s__Limisoma sp004555955"
"s__UBA4248 sp004554395"
"s__RUG14300 sp017444385"
"s__CAG-238 sp016302545"
"s__Spyradenecus sp900771325"
"s__Prevotella sp905198745"
"s__Prevotella sp000436035"
"s__Phascolarctobacterium_A succinatutens"
"s__Treponema_D sp018385415"
"s__Cryptobacteroides sp900546445"
"s__CAG-83 sp900313295"
"s__RF16 sp017649925"
"s__UBA6398 sp003150315"
"s__Blautia stercoris"
"s__Phil1 sp004558525"
"s__UBA2883 sp900768915"
"s__UBA1436 sp900541355"
"s__Treponema_D succinifaciens"
"s__Agathobacter sp000434275"
NA
"s__UBA2868 sp004552595"
"s__Campylobacter lanienae"
"s__Gemmiger qucibialis"
"s__UBA2913 sp002349925"
"s__Hallerella intestinalis"
"s__Lactobacillus amylovorus"
NA
"s__Cryptobacteroides sp000433355"
"s__Fibrobacter sp900142475"
"s__Ruminococcus flavefaciens_S"
"s__UBA6984 sp900550295"
"s__UBA11490 sp003524095"
"s__Hallerella succinigenes"
"s__CAG-95 sp017622575"
NA
