"domain","phylum","class","order","family","genus","species"
"d__Bacteria","p__Firmicutes_A","c__Clostridia","o__Christensenellales","f__UBA1242","g__UMGS687","s__UMGS687 sp900544595"
"N/A",NA,NA,NA,NA,NA,NA
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Limisoma","s__Limisoma sp004555955"
"d__Bacteria","p__Myxococcota","c__Bradymonadia","o__UBA4248","f__UBA4248","g__UBA4248","s__UBA4248 sp004554395"
"d__Bacteria","p__Firmicutes_A","c__Clostridia","o__Christensenellales","f__CAG-1252","g__RUG14300","s__RUG14300 sp017444385"
"d__Bacteria","p__Firmicutes_A","c__Clostridia","o__Peptostreptococcales","f__Anaerovoracaceae","g__CAG-238","s__CAG-238 sp016302545"
"d__Bacteria","p__Verrucomicrobiota","c__Kiritimatiellae","o__RFP12","f__UBA1067","g__Spyradenecus","s__Spyradenecus sp900771325"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__Prevotella sp905198745"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__Prevotella sp000436035"
"d__Bacteria","p__Firmicutes_C","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium_A","s__Phascolarctobacterium_A succinatutens"
"d__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Treponematales","f__Treponemataceae","g__Treponema_D","s__Treponema_D sp018385415"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__UBA932","g__Cryptobacteroides","s__Cryptobacteroides sp900546445"
"d__Bacteria","p__Firmicutes_A","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__CAG-83","s__CAG-83 sp900313295"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Paludibacteraceae","g__RF16","s__RF16 sp017649925"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__UBA6398","s__UBA6398 sp003150315"
"d__Bacteria","p__Firmicutes_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__Blautia stercoris"
"d__Bacteria","p__Firmicutes_A","c__Clostridia","o__Christensenellales","f__CAG-138","g__Phil1","s__Phil1 sp004558525"
"d__Bacteria","p__Cyanobacteria","c__Vampirovibrionia","o__Gastranaerophilales","f__Gastranaerophilaceae","g__UBA2883","s__UBA2883 sp900768915"
"d__Bacteria","p__Elusimicrobiota","c__Elusimicrobia","o__Elusimicrobiales","f__Elusimicrobiaceae","g__UBA1436","s__UBA1436 sp900541355"
"d__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Treponematales","f__Treponemataceae","g__Treponema_D","s__Treponema_D succinifaciens"
"d__Bacteria","p__Firmicutes_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter","s__Agathobacter sp000434275"
"N/A",NA,NA,NA,NA,NA,NA
"d__Bacteria","p__Firmicutes_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__UBA2868","s__UBA2868 sp004552595"
"d__Bacteria","p__Campylobacterota","c__Campylobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Campylobacter","s__Campylobacter lanienae"
"d__Bacteria","p__Firmicutes_A","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Gemmiger","s__Gemmiger qucibialis"
"d__Bacteria","p__Firmicutes_C","c__Negativicutes","o__Selenomonadales","f__Selenomonadaceae","g__UBA2913","s__UBA2913 sp002349925"
"d__Bacteria","p__Fibrobacterota","c__Fibrobacteria","o__Fibrobacterales","f__Fibrobacteraceae","g__Hallerella","s__Hallerella intestinalis"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__Lactobacillus amylovorus"
"N/A",NA,NA,NA,NA,NA,NA
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__UBA932","g__Cryptobacteroides","s__Cryptobacteroides sp000433355"
"d__Bacteria","p__Fibrobacterota","c__Fibrobacteria","o__Fibrobacterales","f__Fibrobacteraceae","g__Fibrobacter","s__Fibrobacter sp900142475"
"d__Bacteria","p__Firmicutes_A","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus","s__Ruminococcus flavefaciens_S"
"d__Bacteria","p__Cyanobacteria","c__Vampirovibrionia","o__Gastranaerophilales","f__Gastranaerophilaceae","g__UBA6984","s__UBA6984 sp900550295"
"d__Bacteria","p__Firmicutes_A","c__Clostridia","o__Christensenellales","f__UBA1242","g__UBA11490","s__UBA11490 sp003524095"
"d__Bacteria","p__Fibrobacterota","c__Fibrobacteria","o__Fibrobacterales","f__Fibrobacteraceae","g__Hallerella","s__Hallerella succinigenes"
"d__Bacteria","p__Firmicutes_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__CAG-95","s__CAG-95 sp017622575"
"N/A",NA,NA,NA,NA,NA,NA
