genome,completeness,contamination
scaffolds_gt1000bp.bin.1.fa,58.75,2.35
scaffolds_gt1000bp.bin.10.fa,87.77,0.42
scaffolds_gt1000bp.bin.11.fa,7.09,0.01
scaffolds_gt1000bp.bin.12.fa,31.04,0.09
scaffolds_gt1000bp.bin.13.fa,80.97,0.66
scaffolds_gt1000bp.bin.14.fa,12.56,0.0
scaffolds_gt1000bp.bin.15.fa,34.92,0.44
scaffolds_gt1000bp.bin.16.fa,63.05,35.0
scaffolds_gt1000bp.bin.17.fa,81.66,0.4
scaffolds_gt1000bp.bin.18.fa,69.66,1.91
scaffolds_gt1000bp.bin.19.fa,74.82,2.29
scaffolds_gt1000bp.bin.2.fa,82.25,0.46
scaffolds_gt1000bp.bin.20.fa,75.28,10.83
scaffolds_gt1000bp.bin.21.fa,30.92,0.33
scaffolds_gt1000bp.bin.22.fa,17.4,0.32
scaffolds_gt1000bp.bin.23.fa,57.85,3.72
scaffolds_gt1000bp.bin.24.fa,12.3,0.04
scaffolds_gt1000bp.bin.25.fa,22.62,0.0
scaffolds_gt1000bp.bin.26.fa,13.07,0.12
scaffolds_gt1000bp.bin.27.fa,23.66,0.25
scaffolds_gt1000bp.bin.28.fa,26.44,0.2
scaffolds_gt1000bp.bin.29.fa,80.01,3.14
scaffolds_gt1000bp.bin.3.fa,81.06,71.25
scaffolds_gt1000bp.bin.30.fa,15.67,0.0
scaffolds_gt1000bp.bin.31.fa,26.06,0.0
scaffolds_gt1000bp.bin.32.fa,10.46,0.13
scaffolds_gt1000bp.bin.33.fa,71.5,2.34
scaffolds_gt1000bp.bin.34.fa,29.39,0.13
scaffolds_gt1000bp.bin.4.fa,18.46,0.0
scaffolds_gt1000bp.bin.5.fa,28.76,0.82
scaffolds_gt1000bp.bin.6.fa,86.2,0.03
scaffolds_gt1000bp.bin.7.fa,40.61,0.34
scaffolds_gt1000bp.bin.8.fa,52.26,1.23
scaffolds_gt1000bp.bin.9.fa,71.14,3.65
scaffolds_gt1000bp_ERR2597524.bin.1.fa,54.37,3.4
scaffolds_gt1000bp_ERR2597524.bin.10.fa,7.24,0.01
scaffolds_gt1000bp_ERR2597524.bin.100.fa,59.87,0.91
scaffolds_gt1000bp_ERR2597524.bin.101.fa,86.53,1.97
scaffolds_gt1000bp_ERR2597524.bin.102.fa,48.21,1.58
scaffolds_gt1000bp_ERR2597524.bin.103.fa,65.0,4.03
scaffolds_gt1000bp_ERR2597524.bin.104.fa,48.53,2.93
scaffolds_gt1000bp_ERR2597524.bin.105.fa,19.01,0.0
scaffolds_gt1000bp_ERR2597524.bin.106.fa,55.05,5.1
scaffolds_gt1000bp_ERR2597524.bin.107.fa,24.84,0.31
scaffolds_gt1000bp_ERR2597524.bin.108.fa,100.0,1.53
scaffolds_gt1000bp_ERR2597524.bin.109.fa,76.32,1.23
scaffolds_gt1000bp_ERR2597524.bin.11.fa,55.94,0.11
scaffolds_gt1000bp_ERR2597524.bin.110.fa,57.01,1.71
scaffolds_gt1000bp_ERR2597524.bin.111.fa,32.12,0.13
scaffolds_gt1000bp_ERR2597524.bin.112.fa,48.44,3.23
scaffolds_gt1000bp_ERR2597524.bin.113.fa,11.26,0.0
scaffolds_gt1000bp_ERR2597524.bin.114.fa,15.11,0.2
scaffolds_gt1000bp_ERR2597524.bin.115.fa,7.13,0.01
scaffolds_gt1000bp_ERR2597524.bin.116.fa,24.69,2.6
scaffolds_gt1000bp_ERR2597524.bin.117.fa,35.91,1.92
scaffolds_gt1000bp_ERR2597524.bin.118.fa,34.93,3.09
scaffolds_gt1000bp_ERR2597524.bin.119.fa,46.37,2.77
scaffolds_gt1000bp_ERR2597524.bin.12.fa,60.27,3.59
scaffolds_gt1000bp_ERR2597524.bin.120.fa,18.26,0.0
scaffolds_gt1000bp_ERR2597524.bin.121.fa,24.04,0.06
scaffolds_gt1000bp_ERR2597524.bin.122.fa,34.45,0.15
scaffolds_gt1000bp_ERR2597524.bin.123.fa,26.35,0.0
scaffolds_gt1000bp_ERR2597524.bin.13.fa,31.72,0.26
scaffolds_gt1000bp_ERR2597524.bin.14.fa,35.12,1.42
scaffolds_gt1000bp_ERR2597524.bin.15.fa,83.65,9.05
scaffolds_gt1000bp_ERR2597524.bin.16.fa,18.28,0.12
scaffolds_gt1000bp_ERR2597524.bin.17.fa,81.01,26.01
scaffolds_gt1000bp_ERR2597524.bin.18.fa,37.51,0.46
scaffolds_gt1000bp_ERR2597524.bin.19.fa,26.8,0.68
scaffolds_gt1000bp_ERR2597524.bin.2.fa,8.74,0.01
scaffolds_gt1000bp_ERR2597524.bin.20.fa,46.69,10.37
scaffolds_gt1000bp_ERR2597524.bin.21.fa,41.97,2.13
scaffolds_gt1000bp_ERR2597524.bin.22.fa,28.24,0.76
scaffolds_gt1000bp_ERR2597524.bin.23.fa,48.59,1.39
scaffolds_gt1000bp_ERR2597524.bin.24.fa,15.25,0.76
scaffolds_gt1000bp_ERR2597524.bin.25.fa,87.88,3.26
scaffolds_gt1000bp_ERR2597524.bin.26.fa,91.9,1.11
scaffolds_gt1000bp_ERR2597524.bin.27.fa,79.51,26.91
scaffolds_gt1000bp_ERR2597524.bin.28.fa,100.0,111.44
scaffolds_gt1000bp_ERR2597524.bin.29.fa,20.47,0.01
scaffolds_gt1000bp_ERR2597524.bin.3.fa,66.93,2.55
scaffolds_gt1000bp_ERR2597524.bin.30.fa,43.25,1.03
scaffolds_gt1000bp_ERR2597524.bin.31.fa,78.94,10.01
scaffolds_gt1000bp_ERR2597524.bin.32.fa,37.41,2.11
scaffolds_gt1000bp_ERR2597524.bin.33.fa,43.8,0.05
scaffolds_gt1000bp_ERR2597524.bin.34.fa,10.76,0.0
scaffolds_gt1000bp_ERR2597524.bin.35.fa,53.65,4.37
scaffolds_gt1000bp_ERR2597524.bin.36.fa,8.8,0.05
scaffolds_gt1000bp_ERR2597524.bin.37.fa,79.87,2.43
scaffolds_gt1000bp_ERR2597524.bin.38.fa,68.83,1.97
scaffolds_gt1000bp_ERR2597524.bin.39.fa,59.73,5.28
scaffolds_gt1000bp_ERR2597524.bin.4.fa,75.07,2.8
scaffolds_gt1000bp_ERR2597524.bin.40.fa,81.05,1.55
scaffolds_gt1000bp_ERR2597524.bin.41.fa,13.29,0.04
scaffolds_gt1000bp_ERR2597524.bin.42.fa,69.77,6.95
scaffolds_gt1000bp_ERR2597524.bin.43.fa,31.03,0.66
scaffolds_gt1000bp_ERR2597524.bin.44.fa,39.37,0.78
scaffolds_gt1000bp_ERR2597524.bin.45.fa,49.27,1.32
scaffolds_gt1000bp_ERR2597524.bin.46.fa,11.62,0.01
scaffolds_gt1000bp_ERR2597524.bin.47.fa,51.97,12.45
scaffolds_gt1000bp_ERR2597524.bin.48.fa,51.25,1.12
scaffolds_gt1000bp_ERR2597524.bin.49.fa,52.79,0.63
scaffolds_gt1000bp_ERR2597524.bin.5.fa,24.52,0.19
