genome,completeness,contamination
scaffolds_gt1000bp_ERR2597538.bin.1.fa,53.26,1.58
scaffolds_gt1000bp_ERR2597538.bin.10.fa,78.04,2.06
scaffolds_gt1000bp_ERR2597538.bin.11.fa,73.68,4.2
scaffolds_gt1000bp_ERR2597538.bin.12.fa,52.95,2.81
scaffolds_gt1000bp_ERR2597538.bin.13.fa,7.71,0.01
scaffolds_gt1000bp_ERR2597538.bin.14.fa,68.18,1.56
scaffolds_gt1000bp_ERR2597538.bin.15.fa,8.7,0.01
scaffolds_gt1000bp_ERR2597538.bin.16.fa,20.07,0.15
scaffolds_gt1000bp_ERR2597538.bin.17.fa,32.46,4.08
scaffolds_gt1000bp_ERR2597538.bin.18.fa,79.13,1.99
scaffolds_gt1000bp_ERR2597538.bin.19.fa,30.57,0.12
scaffolds_gt1000bp_ERR2597538.bin.2.fa,37.09,0.15
scaffolds_gt1000bp_ERR2597538.bin.20.fa,49.79,6.01
scaffolds_gt1000bp_ERR2597538.bin.21.fa,90.98,4.86
scaffolds_gt1000bp_ERR2597538.bin.22.fa,15.54,0.2
scaffolds_gt1000bp_ERR2597538.bin.23.fa,51.27,0.78
scaffolds_gt1000bp_ERR2597538.bin.24.fa,67.35,1.52
scaffolds_gt1000bp_ERR2597538.bin.25.fa,18.06,0.14
scaffolds_gt1000bp_ERR2597538.bin.26.fa,6.36,0.0
scaffolds_gt1000bp_ERR2597538.bin.27.fa,6.48,0.09
scaffolds_gt1000bp_ERR2597538.bin.28.fa,59.13,0.82
scaffolds_gt1000bp_ERR2597538.bin.29.fa,11.77,0.03
scaffolds_gt1000bp_ERR2597538.bin.3.fa,59.69,1.45
scaffolds_gt1000bp_ERR2597538.bin.30.fa,58.16,5.24
scaffolds_gt1000bp_ERR2597538.bin.31.fa,14.99,0.0
scaffolds_gt1000bp_ERR2597538.bin.32.fa,62.95,2.19
scaffolds_gt1000bp_ERR2597538.bin.33.fa,8.7,0.0
scaffolds_gt1000bp_ERR2597538.bin.34.fa,13.23,0.33
scaffolds_gt1000bp_ERR2597538.bin.35.fa,80.22,5.21
scaffolds_gt1000bp_ERR2597538.bin.36.fa,88.33,3.44
scaffolds_gt1000bp_ERR2597538.bin.37.fa,15.18,0.19
scaffolds_gt1000bp_ERR2597538.bin.38.fa,88.94,7.51
scaffolds_gt1000bp_ERR2597538.bin.39.fa,43.71,0.35
scaffolds_gt1000bp_ERR2597538.bin.4.fa,6.69,0.01
scaffolds_gt1000bp_ERR2597538.bin.40.fa,14.47,0.0
scaffolds_gt1000bp_ERR2597538.bin.41.fa,23.3,0.08
scaffolds_gt1000bp_ERR2597538.bin.42.fa,34.86,1.58
scaffolds_gt1000bp_ERR2597538.bin.43.fa,31.31,5.8
scaffolds_gt1000bp_ERR2597538.bin.44.fa,77.32,6.0
scaffolds_gt1000bp_ERR2597538.bin.45.fa,47.15,3.7
scaffolds_gt1000bp_ERR2597538.bin.46.fa,10.27,0.0
scaffolds_gt1000bp_ERR2597538.bin.47.fa,9.06,0.0
scaffolds_gt1000bp_ERR2597538.bin.48.fa,94.22,2.1
scaffolds_gt1000bp_ERR2597538.bin.49.fa,43.54,0.11
scaffolds_gt1000bp_ERR2597538.bin.5.fa,82.05,3.17
scaffolds_gt1000bp_ERR2597538.bin.50.fa,44.12,3.29
scaffolds_gt1000bp_ERR2597538.bin.51.fa,41.79,0.0
scaffolds_gt1000bp_ERR2597538.bin.52.fa,8.58,0.81
scaffolds_gt1000bp_ERR2597538.bin.53.fa,57.18,1.91
scaffolds_gt1000bp_ERR2597538.bin.54.fa,10.12,0.01
scaffolds_gt1000bp_ERR2597538.bin.55.fa,58.64,6.23
scaffolds_gt1000bp_ERR2597538.bin.56.fa,78.38,3.27
scaffolds_gt1000bp_ERR2597538.bin.57.fa,54.78,2.46
scaffolds_gt1000bp_ERR2597538.bin.58.fa,27.88,2.7
scaffolds_gt1000bp_ERR2597538.bin.59.fa,47.03,1.49
scaffolds_gt1000bp_ERR2597538.bin.6.fa,9.56,0.0
scaffolds_gt1000bp_ERR2597538.bin.60.fa,23.34,1.06
scaffolds_gt1000bp_ERR2597538.bin.61.fa,100.0,89.69
scaffolds_gt1000bp_ERR2597538.bin.7.fa,36.96,1.54
scaffolds_gt1000bp_ERR2597538.bin.8.fa,6.59,0.01
scaffolds_gt1000bp_ERR2597538.bin.9.fa,89.7,2.63
