contigName	contigLen	totalAvgDepth	mapped.ERR2597538.sort.bam	mapped.ERR2597538.sort.bam-var
0	199456	46.5755	46.5755	80.4478
1	196487	35.0988	35.0988	61.7941
2	186889	35.6716	35.6716	156.159
3	173047	40.5232	40.5232	70.0974
4	130890	43.3213	43.3213	69.4485
5	123195	42.4945	42.4945	137.164
6	114507	18.8483	18.8483	36.1839
7	109695	36.541	36.541	73.0461
8	108357	37.595	37.595	64.3516
9	108356	39.5409	39.5409	70.5984
10	103960	46.9323	46.9323	81.9252
11	90039	45.8921	45.8921	119.167
12	88738	40.2955	40.2955	88.9696
13	88457	44.4143	44.4143	86.8758
14	81216	36.6767	36.6767	59.5988
15	80777	9.89642	9.89642	16.4084
16	77216	44.2568	44.2568	70.7167
17	77060	37.5516	37.5516	53.5798
18	68902	10.1387	10.1387	18.2471
19	65392	40.1551	40.1551	64.7424
20	64910	41.2969	41.2969	75.5743
21	61511	36.7749	36.7749	56.0531
22	61059	21.273	21.273	35.6427
23	61041	14.6194	14.6194	46.6007
24	51827	42.3643	42.3643	70.393
25	47843	9.87147	9.87147	12.041
26	46224	8.13502	8.13502	10.3096
27	43568	8.57469	8.57469	13.2741
28	41857	8.48191	8.48191	11.4417
29	39709	9.18646	9.18646	13.082
30	39365	40.4078	40.4078	95.4856
31	38787	36.9908	36.9908	65.8
32	38590	8.00991	8.00991	10.9519
33	37313	16.2644	16.2644	23.7552
34	35308	23.7168	23.7168	51.0321
35	35191	16.0493	16.0493	25.7833
36	35087	41.3242	41.3242	79.5943
37	34192	8.10913	8.10913	10.7145
38	33965	40.338	40.338	73.8777
39	33767	42.52	42.52	76.5042
40	33705	18.6851	18.6851	23.69
41	33664	10.172	10.172	15.8898
42	32843	7.63347	7.63347	9.91811
43	32758	41.0296	41.0296	61.2568
44	32665	34.9009	34.9009	148.242
45	32514	46.5935	46.5935	82.6865
46	32055	21.1976	21.1976	33.2814
47	32008	9.07285	9.07285	14.4195
48	31677	7.78894	7.78894	9.69907
49	31643	38.1701	38.1701	63.7038
50	31327	10.0839	10.0839	11.4607
51	31279	8.2304	8.2304	13.4724
52	31164	29.1569	29.1569	58.3859
53	30625	10.0073	10.0073	14.2817
54	30587	18.9999	18.9999	115.959
55	30538	16.0684	16.0684	23.0891
56	30138	16.208	16.208	23.4988
57	29636	113.995	113.995	758.428
58	29603	9.08604	9.08604	16.1239
59	29597	42.6919	42.6919	159.621
60	28598	8.63003	8.63003	10.9475
61	28496	13.7975	13.7975	29.6785
62	28474	8.66378	8.66382	11.2001
63	28227	22.0273	22.0273	38.4264
64	28200	7.65127	7.65127	9.53122
65	28085	8.50328	8.50328	10.4435
66	27927	21.9226	21.9226	33.4291
67	27857	42.5351	42.5351	85.4216
68	27687	31.333	31.333	81.7387
69	27505	7.5452	7.5452	10.2239
70	27292	42.9094	42.9094	63.7738
71	27240	8.90893	8.90893	10.5126
72	27097	7.90852	7.90852	9.82174
73	26970	8.58177	8.58177	10.407
74	26667	9.58381	9.58381	11.4162
75	26647	9.42175	9.42175	11.0675
76	26290	21.1257	21.1257	27.9044
77	26268	8.0317	8.0317	10.549
78	26259	26.4663	26.4663	41.8777
79	26159	43.0862	43.0862	344.927
80	25503	36.697	36.697	61.347
81	25394	15.9391	15.9391	27.396
82	25370	8.16431	8.16431	14.1508
83	25280	8.10999	8.10999	10.2159
84	25249	8.83003	8.83003	12.5845
85	25044	19.4621	19.4621	27.6361
86	24810	8.27522	8.27522	10.5047
87	24792	13.5849	13.5849	18.5397
88	24565	14.9492	14.9492	18.6582
89	24489	8.01253	8.01253	11.6347
90	24209	21.9547	21.9547	30.0925
91	24078	23.637	23.637	34.4446
92	23812	17.3003	17.3003	40.5212
93	23762	9.81323	9.81327	14.6218
94	23671	8.57799	8.57799	11.4595
95	23658	8.04445	8.04445	9.38812
96	23465	8.73781	8.73781	10.056
97	23356	35.8993	35.8993	64.9822
98	23342	7.45149	7.45149	8.00885
99	23326	8.48537	8.48537	12.3568
100	23272	11.5898	11.5898	22.0485
101	23242	70.2963	70.2963	164.941
102	23133	8.72427	8.72432	11.1619
103	23118	8.75126	8.75126	12.7086
104	23106	18.3349	18.3349	50.3221
105	23105	8.86582	8.86582	12.0301
106	23032	31.844	31.844	82.4861
107	22917	34.0681	34.0681	54.7994
108	22909	8.29527	8.29527	9.06819
109	22889	9.19948	9.19948	13.6154
110	22783	9.35227	9.35227	17.4596
111	22716	8.93854	8.93854	15.4061
112	22687	14.1626	14.1626	24.3659
113	22473	9.31246	9.31246	13.2611
114	22459	16.7059	16.7059	25.833
115	22428	7.22394	7.22394	10.7858
116	22218	37.9134	37.9134	63.7982
117	22176	7.83283	7.83283	10.2352
118	22121	9.46985	9.46985	13.7964
119	21818	10.3045	10.3045	15.2163
120	21709	22.2207	22.2207	36.0413
121	21657	7.46125	7.46125	10.1365
122	21588	7.91478	7.91478	10.9819
123	21419	7.74014	7.74014	10.3638
124	21323	26.4005	26.4005	49.7678
125	21274	8.36802	8.36802	22.1687
126	21031	22.471	22.471	30.2001
127	20951	8.30869	8.30869	10.7796
128	20854	15.9819	15.9819	27.3892
129	20695	11.0577	11.0577	18.2055
130	20623	11.7597	11.7597	17.4002
131	20482	11.3372	11.3372	27.3243
132	20439	44.4513	44.4513	77.9048
133	20377	7.84422	7.84422	9.74108
134	20320	18.8219	18.8219	34.7437
135	20299	7.97136	7.97136	12.5394
136	20292	7.12918	7.12918	7.08661
137	20069	43.6493	43.6493	144.157
138	19994	7.83002	7.83002	12.1932
139	19965	22.7198	22.7198	32.9293
140	19948	8.27503	8.27508	10.7088
141	19793	8.12452	8.12452	9.9886
142	19788	8.65832	8.65832	11.7259
143	19575	17.137	17.137	52.191
144	19472	8.08959	8.08959	9.20412
145	19468	8.42297	8.42297	10.7547
146	19398	9.24257	9.24257	12.5362
147	19366	37.096	37.096	45.412
148	19338	8.99401	8.99401	11.4416
149	19265	8.14805	8.14805	12.2447
150	19251	8.42542	8.42542	13.1827
151	19244	8.54986	8.54991	13.1196
152	19213	8.32844	8.32849	8.65641
153	19201	36.089	36.089	371.759
154	19182	7.53358	7.53358	7.74057
155	19101	20.5862	20.5862	30.7883
156	19074	10.2613	10.2613	17.8657
157	18922	18.7774	18.7775	37.0337
158	18919	79.5166	79.5166	299.516
159	18912	9.08501	9.08501	13.4823
160	18898	6.67314	6.67314	8.84693
161	18861	8.09379	8.09379	9.13556
162	18844	8.53745	8.53745	11.6593
163	18762	8.81437	8.81437	8.67477
164	18720	39.0493	39.0493	55.2339
165	18638	11.749	11.749	17.9528
166	18638	6.76444	6.76444	8.38617
167	18591	8.31555	8.31555	9.86833
168	18542	20.6756	20.6756	29.5909
169	18530	10.5135	10.5136	15.6984
170	18526	10.9098	10.9098	14.6083
171	18468	11.2826	11.2826	17.7243
172	18347	15.9004	15.9004	26.7629
173	18342	20.8659	20.8659	27.181
174	18277	44.1909	44.1909	77.5777
175	18256	35.5904	35.5904	58.7318
176	18228	14.1888	14.1888	24.1383
177	18204	8.29844	8.29844	14.3216
178	18189	8.05593	8.05593	9.95662
179	18180	31.2963	31.2963	70.0836
180	18154	11.383	11.383	16.4163
181	18118	10.3609	10.3609	15.9805
